iter	Passed	Remaining
0	118	47138
1	224	44580
2	331	43913
3	446	44231
4	555	43914
5	677	44480
6	783	44004
7	894	43842
8	1012	43966
9	1112	43392
10	1221	43209
11	1324	42815
12	1436	42751
13	1539	42438
14	1642	42159
15	1744	41862
16	1849	41669
17	1950	41388
18	2061	41342
19	2170	41247
20	2277	41108
21	2389	41054
22	2497	40933
23	2592	40619
24	2689	40346
25	2794	40191
26	2884	39853
27	2976	39540
28	3089	39520
29	3196	39420
30	3318	39498
31	3435	39511
32	3540	39369
33	3638	39165
34	3731	38916
35	3835	38776
36	3951	38769
37	4082	38888
38	4176	38660
39	4278	38503
40	4374	38302
41	4474	38142
42	4580	38031
43	4683	37894
44	4779	37706
45	4886	37602
46	4974	37358
47	5070	37184
48	5170	37041
49	5267	36870
50	5361	36686
51	5458	36529
52	5564	36433
53	5666	36310
54	5765	36163
55	5861	36005
56	5954	35833
57	6068	35785
58	6167	35647
59	6261	35481
60	6362	35358
61	6460	35221
62	6560	35093
63	6668	35011
64	6767	34879
65	6863	34735
66	6950	34544
67	7046	34403
68	7145	34278
69	7238	34124
70	7324	33941
71	7431	33854
72	7529	33728
73	7634	33631
74	7755	33605
75	7867	33540
76	7966	33418
77	8059	33272
78	8150	33117
79	8245	32980
80	8339	32844
81	8449	32766
82	8535	32600
83	8629	32463
84	8734	32368
85	8828	32233
86	8923	32105
87	9019	31976
88	9114	31850
89	9204	31703
90	9296	31568
91	9397	31459
92	9489	31326
93	9581	31189
94	9674	31059
95	9769	30938
96	9874	30843
97	9965	30708
98	10062	30592
99	10152	30457
100	10241	30318
101	10337	30202
102	10440	30105
103	10538	29992
104	10623	29846
105	10713	29713
106	10810	29602
107	10896	29461
108	10993	29348
109	11078	29206
110	11169	29080
111	11258	28950
112	11366	28867
113	11463	28760
114	11559	28648
115	11658	28543
116	11751	28424
117	11865	28355
118	11950	28219
119	12052	28122
120	12140	27994
121	12230	27869
122	12317	27740
123	12445	27701
124	12538	27584
125	12629	27465
126	12726	27356
127	12813	27229
128	12913	27127
129	13012	27025
130	13100	26901
131	13184	26768
132	13271	26643
133	13383	26567
134	13482	26464
135	13589	26378
136	13687	26275
137	13777	26156
138	13873	26050
139	13970	25945
140	14053	25814
141	14159	25726
142	14251	25613
143	14358	25526
144	14452	25417
145	14549	25312
146	14645	25205
147	14735	25090
148	14830	24983
149	14930	24884
150	15021	24771
151	15124	24676
152	15220	24571
153	15317	24467
154	15417	24369
155	15521	24277
156	15622	24179
157	15705	24055
158	15790	23933
159	15891	23837
160	15977	23718
161	16065	23602
162	16157	23492
163	16243	23374
164	16333	23262
165	16425	23153
166	16516	23043
167	16608	22935
168	16705	22834
169	16800	22730
170	16894	22625
171	16977	22505
172	17080	22411
173	17172	22304
174	17388	22356
175	17523	22302
176	17640	22225
177	17763	22154
178	17882	22079
179	17996	21995
180	18122	21927
181	18236	21844
182	18337	21744
183	18450	21659
184	18584	21598
185	18695	21510
186	18834	21453
187	18961	21382
188	19095	21318
189	19205	21226
190	19307	21127
191	19408	21025
192	19512	20927
193	19619	20832
194	19754	20767
195	19864	20675
196	19971	20579
197	20071	20477
198	20173	20376
199	20279	20279
200	20386	20183
201	20482	20076
202	20567	19959
203	20690	19878
204	20790	19776
205	20905	19687
206	21028	19606
207	21140	19514
208	21231	19402
209	21332	19301
210	21432	19197
211	21523	19086
212	21613	18975
213	21698	18859
214	21800	18758
215	21900	18656
216	21993	18547
217	22094	18445
218	22206	18353
219	22318	18260
220	22424	18163
221	22526	18061
222	22627	17960
223	22734	17862
224	22838	17763
225	22949	17669
226	23059	17574
227	23162	17473
228	23266	17373
229	23360	17266
230	23459	17163
231	23567	17066
232	23657	16955
233	23743	16843
234	23852	16747
235	23947	16641
236	24042	16535
237	24152	16440
238	24253	16338
239	24361	16241
240	24460	16137
241	24562	16036
242	24652	15927
243	24740	15817
244	24846	15719
245	24957	15623
246	25044	15513
247	25150	15414
248	25253	15314
249	25354	15212
250	25460	15113
251	25557	15009
252	25665	14912
253	25792	14825
254	25904	14729
255	26026	14640
256	26131	14540
257	26250	14447
258	26355	14347
259	26469	14252
260	26581	14156
261	26680	14053
262	26799	13960
263	26914	13865
264	27028	13769
265	27143	13673
266	27250	13574
267	27349	13470
268	27450	13367
269	27550	13265
270	27636	13155
271	27729	13048
272	27819	12941
273	27924	12841
274	28047	12749
275	28149	12646
276	28252	12545
277	28350	12441
278	28442	12335
279	28544	12233
280	28648	12132
281	28739	12025
282	28825	11917
283	28918	11811
284	29021	11710
285	29130	11611
286	29236	11511
287	29342	11410
288	29451	11311
289	29562	11213
290	29682	11118
291	29801	11022
292	29927	10929
293	30068	10841
294	30182	10742
295	30300	10646
296	30413	10547
297	30524	10447
298	30638	10349
299	30748	10249
300	30855	10148
301	30962	10047
302	31074	9947
303	31189	9849
304	31283	9744
305	31371	9637
306	31472	9534
307	31563	9428
308	31658	9323
309	31759	9220
310	31861	9118
311	31984	9021
312	32077	8916
313	32189	8816
314	32303	8716
315	32403	8613
316	32507	8511
317	32632	8414
318	32728	8310
319	32819	8204
320	32921	8102
321	33032	8001
322	33122	7896
323	33210	7790
324	33317	7688
325	33414	7584
326	33508	7480
327	33601	7375
328	33700	7272
329	33797	7169
330	33908	7068
331	34013	6966
332	34106	6862
333	34206	6759
334	34322	6659
335	34416	6555
336	34502	6450
337	34589	6344
338	34674	6239
339	34781	6137
340	34882	6035
341	34982	5932
342	35074	5828
343	35159	5723
344	35253	5620
345	35366	5519
346	35470	5417
347	35565	5314
348	35650	5209
349	35752	5107
350	35845	5004
351	35942	4901
352	36050	4799
353	36150	4697
354	36239	4593
355	36327	4489
356	36423	4387
357	36521	4284
358	36617	4181
359	36706	4078
360	36816	3977
361	36941	3877
362	37054	3776
363	37154	3674
364	37252	3572
365	37355	3470
366	37458	3368
367	37569	3266
368	37656	3163
369	37748	3060
370	37832	2957
371	37921	2854
372	38014	2751
373	38117	2649
374	38214	2547
375	38316	2445
376	38414	2343
377	38513	2241
378	38601	2138
379	38707	2037
380	38806	1935
381	38912	1833
382	39015	1731
383	39101	1629
384	39196	1527
385	39299	1425
386	39385	1323
387	39480	1221
388	39581	1119
389	39671	1017
390	39765	915
391	39865	813
392	39957	711
393	40053	609
394	40155	508
395	40258	406
396	40358	304
397	40457	203
398	40565	101
399	40685	0
